时间戳,时间,数据包数量,字节数,累计包数,累计字节数
1758892578,2025-09-26 21:16:18,160,43286,160,43286
1758892874,2025-09-26 21:21:14,286,98180,446,141466
1758892875,2025-09-26 21:21:15,494,187538,940,329004
1758892876,2025-09-26 21:21:16,60,16216,1000,345220
