会话信息
项目,值
会话ID,88
会话名称,会话_88
创建时间,2025-09-26 23:36:32.861810
数据包数量,483
持续时间(秒),1301.7354254722595

高级统计
指标,值
总数据包数,483
总字节数,166960
平均包大小(字节),345.7
协议多样性,2
时间跨度(秒),1301.7
平均速率(包/秒),0.4
唯一源IP数,25
唯一目标IP数,25
