指标,数值
总数据包,421
总字节数,116229
数据包速率,0.00 pps
字节速率,0.00 Bps

协议分布
TCP,328
UDP,64
DNS,27
Unknown,2

完整数据包列表
时间戳,源IP,目标IP,源端口,目标端口,协议,长度(字节)
2025-10-08 23:08:51.202,192.168.31.159,123.180.156.135,1346,80,TCP,55
2025-10-08 23:08:51.232,123.180.156.135,192.168.31.159,80,1346,TCP,66
2025-10-08 23:08:51.342,192.168.31.159,23.49.5.206,8781,443,TCP,55
2025-10-08 23:08:51.370,192.168.31.159,224.0.0.251,5353,5353,DNS,70
2025-10-08 23:08:51.371,192.168.31.159,224.0.0.251,5353,5353,DNS,70
2025-10-08 23:08:51.371,192.168.31.159,224.0.0.251,5353,5353,DNS,70
2025-10-08 23:08:51.372,192.168.31.159,224.0.0.251,5353,5353,DNS,70
2025-10-08 23:08:51.384,193.123.240.119,192.168.31.159,36197,52886,UDP,108
2025-10-08 23:08:51.452,71.18.253.64,192.168.31.159,443,10127,TCP,60
2025-10-08 23:08:51.453,71.18.253.64,192.168.31.159,443,10127,TCP,80
2025-10-08 23:08:51.493,192.168.31.159,71.18.253.64,10127,443,TCP,54
2025-10-08 23:08:51.566,23.49.5.206,192.168.31.159,443,8781,TCP,66
2025-10-08 23:08:51.783,192.168.31.159,224.0.0.251,5353,5353,DNS,70
2025-10-08 23:08:51.784,192.168.31.159,192.168.31.255,137,137,UDP,92
2025-10-08 23:08:51.784,192.168.31.159,224.0.0.251,5353,5353,DNS,70
2025-10-08 23:08:51.784,192.168.31.159,224.0.0.252,59920,5355,UDP,64
2025-10-08 23:08:51.785,192.168.31.159,224.0.0.252,49664,5355,UDP,64
2025-10-08 23:08:51.785,192.168.31.159,224.0.0.251,5353,5353,DNS,70
2025-10-08 23:08:51.785,192.168.31.159,224.0.0.251,5353,5353,DNS,70
2025-10-08 23:08:52.184,192.168.31.159,167.234.210.122,52869,35305,UDP,67
2025-10-08 23:08:52.193,192.168.31.159,224.0.0.251,5353,5353,DNS,70
2025-10-08 23:08:52.195,192.168.31.159,224.0.0.252,59920,5355,UDP,64
2025-10-08 23:08:52.196,192.168.31.159,224.0.0.252,49664,5355,UDP,64
2025-10-08 23:08:52.196,192.168.31.159,224.0.0.251,5353,5353,DNS,70
