指标,数值
总数据包,421
总字节数,116229
数据包速率,0.00 pps
字节速率,0.00 Bps

协议分布
TCP,328
UDP,64
DNS,27
Unknown,2

完整数据包列表
时间戳,源IP,目标IP,源端口,目标端口,协议,长度(字节)
2025-10-08 23:08:58.136,192.168.31.159,123.180.156.65,2996,443,TCP,93
2025-10-08 23:08:58.136,192.168.31.159,123.180.156.65,2996,443,TCP,946
2025-10-08 23:08:58.166,123.180.156.65,192.168.31.159,443,2996,TCP,60
2025-10-08 23:08:58.166,123.180.156.65,192.168.31.159,443,2996,TCP,106
2025-10-08 23:08:58.167,123.180.156.65,192.168.31.159,443,2996,TCP,154
2025-10-08 23:08:58.168,123.180.156.65,192.168.31.159,443,2996,TCP,85
2025-10-08 23:08:58.168,192.168.31.159,123.180.156.65,2996,443,TCP,54
2025-10-08 23:08:58.212,192.168.31.159,59.82.43.25,8923,443,TCP,55
2025-10-08 23:08:58.219,192.168.31.159,59.82.44.52,8922,443,TCP,55
2025-10-08 23:08:58.223,192.168.31.159,23.49.5.206,8781,443,TCP,55
2025-10-08 23:08:58.226,59.82.43.25,192.168.31.159,443,8923,TCP,66
2025-10-08 23:08:58.232,59.82.44.52,192.168.31.159,443,8922,TCP,66
2025-10-08 23:08:58.242,192.168.31.159,46.232.56.131,4884,443,TCP,1490
2025-10-08 23:08:58.267,46.232.56.131,192.168.31.159,443,4884,TCP,1162
2025-10-08 23:08:58.307,192.168.31.159,46.232.56.131,4884,443,TCP,54
2025-10-08 23:08:58.314,46.232.56.131,192.168.31.159,443,4884,TCP,66
2025-10-08 23:08:58.369,158.178.236.104,192.168.31.159,38234,52867,UDP,70
2025-10-08 23:08:58.393,192.168.31.159,113.240.75.249,4868,443,TCP,54
2025-10-08 23:08:58.396,192.168.31.159,129.146.95.165,52877,38600,UDP,67
2025-10-08 23:08:58.414,113.240.75.249,192.168.31.159,443,4868,TCP,60
2025-10-08 23:08:58.414,192.168.31.159,113.240.75.249,4868,443,TCP,54
2025-10-08 23:08:58.415,46.232.56.131,192.168.31.159,443,4891,TCP,1149
2025-10-08 23:08:58.416,46.232.56.131,192.168.31.159,443,4891,TCP,858
2025-10-08 23:08:58.417,192.168.31.159,46.232.56.131,4891,443,TCP,54
2025-10-08 23:08:58.443,23.49.5.206,192.168.31.159,443,8781,TCP,66
2025-10-08 23:08:58.483,192.168.31.159,159.13.35.245,52874,37569,UDP,67
2025-10-08 23:08:58.605,129.146.95.165,192.168.31.159,38600,52877,UDP,68
2025-10-08 23:08:58.608,192.168.31.159,123.180.156.65,4895,443,TCP,66
2025-10-08 23:08:58.610,192.168.31.159,223.5.5.5,55796,53,DNS,74
2025-10-08 23:08:58.613,223.5.5.5,192.168.31.159,53,55796,DNS,142
2025-10-08 23:08:58.639,123.180.156.65,192.168.31.159,443,4895,TCP,66
2025-10-08 23:08:58.639,192.168.31.159,123.180.156.65,4895,443,TCP,54
2025-10-08 23:08:58.639,192.168.31.159,123.180.156.65,4895,443,TCP,571
2025-10-08 23:08:58.668,123.180.156.65,192.168.31.159,443,4895,TCP,60
2025-10-08 23:08:58.670,123.180.156.65,192.168.31.159,443,4895,TCP,1490
2025-10-08 23:08:58.670,123.180.156.65,192.168.31.159,443,4895,TCP,1490
2025-10-08 23:08:58.670,192.168.31.159,123.180.156.65,4895,443,TCP,54
2025-10-08 23:08:58.672,123.180.156.65,192.168.31.159,443,4895,TCP,1490
2025-10-08 23:08:58.672,123.180.156.65,192.168.31.159,443,4895,TCP,320
2025-10-08 23:08:58.672,192.168.31.159,123.180.156.65,4895,443,TCP,54
2025-10-08 23:08:58.685,192.168.31.159,123.180.156.65,4895,443,TCP,134
2025-10-08 23:08:58.685,192.168.31.159,123.180.156.65,4895,443,TCP,146
2025-10-08 23:08:58.686,192.168.31.159,123.180.156.65,4895,443,TCP,254
2025-10-08 23:08:58.686,192.168.31.159,123.180.156.65,4895,443,TCP,600
2025-10-08 23:08:58.686,192.168.31.159,123.180.156.65,4895,443,TCP,85
2025-10-08 23:08:58.714,123.180.156.65,192.168.31.159,443,4895,TCP,60
2025-10-08 23:08:58.715,123.180.156.65,192.168.31.159,443,4895,TCP,341
2025-10-08 23:08:58.715,123.180.156.65,192.168.31.159,443,4895,TCP,425
2025-10-08 23:08:58.715,192.168.31.159,123.180.156.65,4895,443,TCP,54
2025-10-08 23:08:58.716,192.168.31.159,123.180.156.65,4895,443,TCP,85
2025-10-08 23:08:58.722,123.180.156.65,192.168.31.159,443,4895,TCP,643
2025-10-08 23:08:58.762,192.168.31.159,123.180.156.65,4895,443,TCP,54
2025-10-08 23:08:58.785,123.180.156.65,192.168.31.159,443,4895,TCP,60
2025-10-08 23:08:58.795,159.13.35.245,192.168.31.159,37569,52874,UDP,71
2025-10-08 23:08:58.818,192.168.31.159,159.13.35.245,52874,37569,UDP,124
2025-10-08 23:08:58.862,192.168.31.159,146.56.164.36,52879,36292,UDP,67
2025-10-08 23:08:58.870,192.168.31.159,132.145.239.250,52876,38446,UDP,67
2025-10-08 23:08:59.054,146.56.164.36,192.168.31.159,36292,52879,UDP,80
2025-10-08 23:08:59.056,132.145.239.250,192.168.31.159,38446,52876,UDP,68
2025-10-08 23:08:59.155,192.168.31.159,152.67.95.183,52872,36962,UDP,67
2025-10-08 23:08:59.288,192.168.31.159,146.235.201.189,52868,35878,UDP,67
2025-10-08 23:08:59.341,192.168.31.159,223.5.5.5,4690,443,TCP,145
2025-10-08 23:08:59.342,192.168.31.159,120.53.53.53,5596,443,TCP,152
2025-10-08 23:08:59.342,192.168.31.159,8.8.8.8,54257,53,DNS,82
2025-10-08 23:08:59.344,192.168.31.159,46.232.56.131,4898,443,TCP,66
2025-10-08 23:08:59.345,223.5.5.5,192.168.31.159,443,4690,TCP,123
2025-10-08 23:08:59.347,223.5.5.5,192.168.31.159,443,4690,TCP,403
2025-10-08 23:08:59.347,192.168.31.159,223.5.5.5,4690,443,TCP,54
2025-10-08 23:08:59.347,192.168.31.159,120.53.53.53,5596,443,TCP,113
2025-10-08 23:08:59.349,192.168.31.159,223.5.5.5,4690,443,TCP,90
2025-10-08 23:08:59.349,192.168.31.159,104.16.248.249,4902,443,TCP,66
2025-10-08 23:08:59.349,192.168.31.159,104.16.249.249,4900,443,TCP,66
2025-10-08 23:08:59.350,223.5.5.5,192.168.31.159,443,4690,TCP,92
2025-10-08 23:08:59.350,223.5.5.5,192.168.31.159,443,4690,TCP,403
2025-10-08 23:08:59.350,192.168.31.159,223.5.5.5,4690,443,TCP,54
2025-10-08 23:08:59.350,120.53.53.53,192.168.31.159,443,5596,TCP,60
2025-10-08 23:08:59.353,120.53.53.53,192.168.31.159,443,5596,TCP,623
2025-10-08 23:08:59.356,120.53.53.53,192.168.31.159,443,5596,TCP,60
2025-10-08 23:08:59.357,120.53.53.53,192.168.31.159,443,5596,TCP,100
2025-10-08 23:08:59.358,192.168.31.159,120.53.53.53,5596,443,TCP,54
2025-10-08 23:08:59.371,192.168.31.159,223.5.5.5,55796,53,DNS,73
2025-10-08 23:08:59.372,192.168.31.159,203.107.62.20,4903,443,TCP,66
2025-10-08 23:08:59.375,223.5.5.5,192.168.31.159,53,55796,DNS,138
2025-10-08 23:08:59.406,203.107.62.20,192.168.31.159,443,4903,TCP,66
2025-10-08 23:08:59.406,192.168.31.159,203.107.62.20,4903,443,TCP,54
2025-10-08 23:08:59.407,192.168.31.159,203.107.62.20,4903,443,TCP,571
2025-10-08 23:08:59.433,152.67.95.183,192.168.31.159,36962,52872,UDP,77
2025-10-08 23:08:59.443,192.168.31.159,23.49.5.206,8781,443,TCP,55
2025-10-08 23:08:59.450,146.235.201.189,192.168.31.159,35878,52868,UDP,70
2025-10-08 23:08:59.458,192.168.31.159,152.67.95.183,52872,36962,UDP,124
2025-10-08 23:08:59.489,203.107.62.20,192.168.31.159,443,4903,TCP,60
2025-10-08 23:08:59.490,203.107.62.20,192.168.31.159,443,4903,TCP,195
2025-10-08 23:08:59.490,192.168.31.159,203.107.62.20,4903,443,TCP,1490
2025-10-08 23:08:59.492,192.168.31.159,203.107.62.20,4903,443,TCP,581
2025-10-08 23:08:59.498,192.168.31.159,152.69.180.226,52885,38964,UDP,67
2025-10-08 23:08:59.549,203.107.62.20,192.168.31.159,443,4903,TCP,60
2025-10-08 23:08:59.556,8.8.8.8,192.168.31.159,53,54257,DNS,349
2025-10-08 23:08:59.578,203.107.62.20,192.168.31.159,443,4903,TCP,736
2025-10-08 23:08:59.613,192.168.31.159,8.8.4.4,4853,443,TCP,66
2025-10-08 23:08:59.615,192.168.31.159,104.16.248.249,4856,443,TCP,66
2025-10-08 23:08:59.616,192.168.31.159,8.8.8.8,4851,443,TCP,66
2025-10-08 23:08:59.617,192.168.31.159,203.107.62.20,4903,443,TCP,54
2025-10-08 23:08:59.619,192.168.31.159,8.8.8.8,4866,443,TCP,66
2025-10-08 23:08:59.619,192.168.31.159,8.8.4.4,4865,443,TCP,66
2025-10-08 23:08:59.621,192.168.31.159,104.16.248.249,4863,443,TCP,66
2025-10-08 23:08:59.662,23.49.5.206,192.168.31.159,443,8781,TCP,66
2025-10-08 23:08:59.828,152.69.180.226,192.168.31.159,38964,52885,UDP,70
2025-10-08 23:09:00.004,192.168.31.159,167.234.208.240,52865,37031,UDP,67
2025-10-08 23:09:00.181,167.234.208.240,192.168.31.159,37031,52865,UDP,74
2025-10-08 23:09:00.343,192.168.31.159,46.232.56.131,4898,443,TCP,66
