指标,数值
总数据包,115
总字节数,21048
数据包速率,0.00 pps
字节速率,0.00 Bps

协议分布
TCP,93
UDP,16
DNS,6

完整数据包列表
时间戳,源IP,目标IP,源端口,目标端口,协议,长度(字节)
2025-09-28 15:40:57.668,192.168.31.159,223.5.5.5,7285,443,TCP,90
2025-09-28 15:40:57.669,192.168.31.159,104.16.248.249,7628,443,TCP,90
2025-09-28 15:40:57.669,192.168.31.159,223.5.5.5,7285,443,TCP,90
2025-09-28 15:40:57.669,192.168.31.159,104.16.248.249,7628,443,TCP,145
2025-09-28 15:40:57.669,192.168.31.159,8.8.8.8,11513,443,TCP,66
2025-09-28 15:40:57.669,192.168.31.159,8.8.8.8,11517,443,TCP,66
2025-09-28 15:40:57.669,192.168.31.159,8.8.4.4,11518,443,TCP,66
2025-09-28 15:40:57.670,192.168.31.159,8.8.4.4,11520,443,TCP,66
2025-09-28 15:40:57.670,192.168.31.159,108.181.4.223,53928,36694,UDP,1037
2025-09-28 15:40:57.670,223.5.5.5,192.168.31.159,443,7285,TCP,60
2025-09-28 15:40:57.671,223.5.5.5,192.168.31.159,443,7285,TCP,91
2025-09-28 15:40:57.671,223.5.5.5,192.168.31.159,443,7285,TCP,259
2025-09-28 15:40:57.671,192.168.31.159,223.5.5.5,7285,443,TCP,54
2025-09-28 15:40:57.671,192.168.31.159,104.16.248.249,7628,443,TCP,89
2025-09-28 15:40:57.672,223.5.5.5,192.168.31.159,443,7285,TCP,91
2025-09-28 15:40:57.672,223.5.5.5,192.168.31.159,443,7285,TCP,403
2025-09-28 15:40:57.672,192.168.31.159,223.5.5.5,7285,443,TCP,54
2025-09-28 15:40:57.672,192.168.31.159,104.16.248.249,7628,443,TCP,89
2025-09-28 15:40:57.673,120.53.53.53,192.168.31.159,443,8902,TCP,60
2025-09-28 15:40:57.673,120.53.53.53,192.168.31.159,443,8902,TCP,60
2025-09-28 15:40:57.674,120.53.53.53,192.168.31.159,443,8902,TCP,623
2025-09-28 15:40:57.674,120.53.53.53,192.168.31.159,443,8902,TCP,623
2025-09-28 15:40:57.674,192.168.31.159,120.53.53.53,8902,443,TCP,54
2025-09-28 15:40:57.675,120.53.53.53,192.168.31.159,443,8902,TCP,66
2025-09-28 15:40:57.676,120.53.53.53,192.168.31.159,443,8902,TCP,60
2025-09-28 15:40:57.676,120.53.53.53,192.168.31.159,443,8902,TCP,100
2025-09-28 15:40:57.718,192.168.31.159,120.53.53.53,8902,443,TCP,54
2025-09-28 15:40:57.747,192.168.31.159,108.181.5.199,49673,38634,UDP,67
2025-09-28 15:40:57.783,192.168.31.159,8.8.8.8,11509,443,TCP,66
2025-09-28 15:40:57.809,192.168.31.159,121.229.94.224,1755,8080,TCP,207
2025-09-28 15:40:57.815,104.16.248.249,192.168.31.159,443,7628,TCP,60
2025-09-28 15:40:57.816,104.16.248.249,192.168.31.159,443,7628,TCP,60
2025-09-28 15:40:57.818,104.16.248.249,192.168.31.159,443,7628,TCP,134
2025-09-28 15:40:57.818,104.16.248.249,192.168.31.159,443,7628,TCP,224
2025-09-28 15:40:57.818,192.168.31.159,104.16.248.249,7628,443,TCP,54
2025-09-28 15:40:57.819,121.229.94.224,192.168.31.159,8080,1755,TCP,134
2025-09-28 15:40:57.819,104.16.248.249,192.168.31.159,443,7628,TCP,60
2025-09-28 15:40:57.826,8.8.8.8,192.168.31.159,53,59944,DNS,263
2025-09-28 15:40:57.827,8.8.8.8,192.168.31.159,53,59945,DNS,181
2025-09-28 15:40:57.831,108.181.4.223,192.168.31.159,36694,53928,UDP,70
2025-09-28 15:40:57.835,84.53.172.9,192.168.31.159,443,8727,TCP,66
2025-09-28 15:40:57.860,192.168.31.159,121.229.94.224,1755,8080,TCP,54
2025-09-28 15:40:57.865,108.181.4.223,192.168.31.159,36694,53928,UDP,945
